118,021040,대호피앤씨,20200709,705,717,702,710,64076,0.00
119,021045,대호피앤씨우,20200709,1565,1640,1550,1550,153895,-1.27
120,021080,에이티넘인베스트,20200709,1640,1670,1625,1650,252835,+0.61
121,021320,KCC건설,20200709,6440,6470,6360,6370,24079,-0.62
122,021650,한국큐빅,20200709,2550,2630,2515,2570,283701,+0.98
123,021880,메이슨캐피탈,20200709,312,322,308,316,550356,+1.28
124,022100,포스코 ICT,20200709,4300,4330,4275,4305,350112,+0.23
125,022220,정산애강,20200709,1745,1765,1730,1765,236670,+2.32
126,023160,태광,20200709,7310,7310,7230,7280,66160,+0.83
127,023410,유진기업,20200709,3850,3860,3810,3835,278244,-0.13
128,023440,제일제강,20200709,1815,1890,1800,1800,262266,+1.41
129,023460,CNH,20200709,1410,1420,1385,1410,140881,0.00
130,023600,삼보판지,20200709,7570,7820,7570,7800,100562,+2.09
131,023760,한국캐피탈,20200709,501,501,494,497,150530,-0.40
132,023770,플레이위드,20200709,12500,12600,12250,12350,92449,-0.80
133,023790,동일철강,20200709,2985,3000,2915,2950,12673,+0.51
134,023890,한국아트라스비엑스,20200709,45050,46000,45050,45600,1368,+0.33
135,023900,풍국주정,20200709,26500,26800,25800,25800,979292,-0.39
136,023910,대한약품,20200709,29300,29300,28750,29150,23194,-0.51
137,024060,흥구석유,20200709,6760,6860,6740,6760,97019,0.00
138,024120,KB오토시스,20200709,6390,6440,6220,6440,6331,+0.94
139,024740,한일단조,20200709,1860,1900,1840,1860,2912690,+1.09
140,024800,유성티엔에스,20200709,2050,2085,2045,2070,29752,+0.98
141,024810,이화전기,20200709,155,156,153,154,2902158,-0.65
142,024830,세원물산,20200709,6280,6280,6280,6280,0,0.00
143,024840,KBI메탈,20200709,1250,1295,1235,1250,183490,+0.40
144,024850,피에스엠씨,20200709,820,841,812,816,49214,0.00
145,024880,케이피에프,20200709,3650,3870,3650,3850,90096,+5.34
146,024910,경창산업,20200709,938,995,933,995,572506,+4.19
147,024940,PN풍년,20200709,2585,2930,2460,2460,5711895,+9.09
148,024950,삼천리자전거,20200709,11300,11950,11150,11850,1403725,+7.73
149,025320,시노펙스,20200709,2925,3050,2920,3030,5344595,+4.48
150,025440,대성엘텍,20200709,703,706,683,689,740950,-1.43
151,025550,한국선재,20200709,2920,2960,2905,2935,163332,+0.51
152,025770,한국정보통신,20200709,9000,9590,8870,9570,222051,+7.65
153,025870,신라에스지,20200709,9250,9420,9220,9240,49564,-1.07
154,025880,케이씨피드,20200709,1920,1920,1870,1885,51678,-1.82
155,025900,동화기업,20200709,46400,46850,44250,46350,340198,0.00
156,025950,동신건설,20200709,7700,7970,7210,7650,1425008,-1.16
157,025980,아난티,20200709,10450,10600,10150,10250,4464320,-1.44
158,026040,제이에스티나,20200709,2585,2600,2480,2500,49855,-1.77
159,026150,특수건설,20200709,7170,7560,7110,7450,1957653,+5.52
160,026910,광진실업,20200709,2930,3050,2795,2835,114003,+0.18
161,027040,서울전자통신,20200709,792,797,780,790,130963,-0.25
162,027050,코리아나,20200709,5310,5350,5120,5180,2085448,+0.39
163,027360,아주IB투자,20200709,1375,1380,1340,1350,785041,-1.46
164,027580,상보,20200709,1010,1020,1000,1015,401273,+0.50
165,027710,팜스토리,20200709,1165,1165,1140,1150,567671,-0.86
166,027830,대성창투,20200709,1750,1810,1735,1790,451458,+3.47
167,028040,미래SCI,20200709,279,279,279,279,0,0.00
168,028080,휴맥스홀딩스,20200709,2830,2830,2730,2740,1845,-1.44
169,028150,GS홈쇼핑,20200709,109300,110800,108400,109600,15321,+0.74
170,028300,에이치엘비,20200709,84600,90200,84500,88100,882468,+2.20
171,029480,바른테크놀로지,20200709,490,511,489,508,232616,+2.83
172,029960,코엔텍,20200709,8870,8880,8730,8760,233854,-1.02
173,030190,NICE평가정보,20200709,19100,19900,18800,19900,391098,+4.74
174,030350,드래곤플라이,20200709,3080,3095,3015,3025,116544,-1.79
175,030520,한글과컴퓨터,20200709,17200,17800,16800,17400,562441,+2.35
176,030530,원익홀딩스,20200709,4625,4675,4585,4600,499704,+0.44
177,030960,양지사,20200709,9850,9960,9730,9830,16955,0.00
178,031310,아이즈비전,20200709,4170,4325,4115,4260,759790,+3.27
179,031330,에스에이엠티,20200709,2070,2085,2065,2075,374421,+0.73
180,031390,녹십자셀,20200709,41050,41350,40550,40700,118392,-0.97
181,031510,오스템,20200709,1615,1645,1590,1615,88609,-0.62
182,031860,엔에스엔,20200709,1500,1535,1460,1500,787681,+2.04
183,031980,피에스케이홀딩스,20200709,6760,6820,6700,6700,16630,-0.89
184,032080,아즈텍WB,20200709,1550,1555,1520,1530,56121,-1.29
185,032190,다우데이타,20200709,14300,14900,13950,14650,2126149,+4.64
186,032280,삼일,20200709,1820,1850,1810,1850,46449,+0.82
187,032500,케이엠더블유,20200709,64500,64500,62700,63000,1071785,-1.72
188,032540,TJ미디어,20200709,2800,2820,2765,2795,5851,+0.90
189,032580,피델릭스,20200709,1910,1930,1900,1915,318726,0.00
